,start_ts,weather_conditions,duration_seconds
189,2017-11-04 08:00:00,Good,1323.0
190,2017-11-04 08:00:00,Good,1323.0
191,2017-11-04 12:00:00,Good,2160.0
192,2017-11-18 08:00:00,Bad,1500.0
193,2017-11-25 05:00:00,Good,1487.0
194,2017-11-04 06:00:00,Good,1020.0
195,2017-11-11 07:00:00,Good,1140.0
196,2017-11-18 10:00:00,Bad,1440.0
197,2017-11-04 10:00:00,Good,1883.0
198,2017-11-11 14:00:00,Good,2225.0
199,2017-11-18 11:00:00,Good,2415.0
200,2017-11-04 14:00:00,Good,3411.0
201,2017-11-18 12:00:00,Bad,2571.0
202,2017-11-04 12:00:00,Good,2640.0
203,2017-11-18 00:00:00,Bad,480.0
204,2017-11-18 19:00:00,Good,0.0
205,2017-11-11 10:00:00,Good,1414.0
206,2017-11-11 12:00:00,Good,1981.0
207,2017-11-11 08:00:00,Good,1200.0
208,2017-11-04 11:00:00,Good,2160.0
209,2017-11-11 15:00:00,Good,2400.0
210,2017-11-11 20:00:00,Good,1500.0
211,2017-11-18 14:00:00,Good,3660.0
212,2017-11-25 14:00:00,Good,1740.0
213,2017-11-04 18:00:00,Bad,2580.0
214,2017-11-11 16:00:00,Good,2940.0
215,2017-11-11 09:00:00,Good,1260.0
216,2017-11-04 08:00:00,Good,1380.0
217,2017-11-18 15:00:00,Good,3600.0
218,2017-11-18 17:00:00,Bad,2100.0
219,2017-11-18 07:00:00,Bad,1366.0
220,2017-11-04 10:00:00,Good,1717.0
221,2017-11-04 12:00:00,Good,2441.0
222,2017-11-04 10:00:00,Good,2479.0
223,2017-11-11 10:00:00,Good,1439.0
224,2017-11-04 06:00:00,Good,1207.0
225,2017-11-11 13:00:00,Good,1680.0
226,2017-11-18 06:00:00,Good,1440.0
227,2017-11-18 07:00:00,Bad,1560.0
228,2017-11-04 10:00:00,Good,2112.0
229,2017-11-11 15:00:00,Good,2160.0
230,2017-11-11 09:00:00,Good,1380.0
231,2017-11-04 07:00:00,Good,1200.0
232,2017-11-04 11:00:00,Good,2328.0
233,2017-11-04 18:00:00,Bad,2580.0
234,2017-11-04 05:00:00,Good,1620.0
235,2017-11-04 05:00:00,Good,1217.0
236,2017-11-11 08:00:00,Good,1237.0
237,2017-11-11 07:00:00,Good,1074.0
238,2017-11-18 11:00:00,Good,2120.0
239,2017-11-18 08:00:00,Bad,1404.0
240,2017-11-11 10:00:00,Good,1243.0
241,2017-11-18 05:00:00,Good,1226.0
242,2017-11-11 11:00:00,Good,2100.0
243,2017-11-11 05:00:00,Good,1320.0
244,2017-11-25 05:00:00,Good,1123.0
245,2017-11-11 05:00:00,Good,1504.0
246,2017-11-04 06:00:00,Good,1439.0
247,2017-11-18 16:00:00,Bad,2811.0
248,2017-11-18 11:00:00,Good,2094.0
249,2017-11-11 06:00:00,Good,1430.0
250,2017-11-11 06:00:00,Good,1260.0
251,2017-11-11 10:00:00,Good,1421.0
252,2017-11-18 12:00:00,Bad,3026.0
253,2017-11-04 10:00:00,Good,2006.0
254,2017-11-04 14:00:00,Good,3120.0
255,2017-11-25 12:00:00,Good,1380.0
256,2017-11-11 06:00:00,Good,1415.0
257,2017-11-18 13:00:00,Bad,3390.0
258,2017-11-18 14:00:00,Good,2994.0
259,2017-11-11 10:00:00,Good,1476.0
260,2017-11-11 11:00:00,Good,1620.0
261,2017-11-04 17:00:00,Bad,2640.0
262,2017-11-04 07:00:00,Good,1380.0
263,2017-11-25 12:00:00,Good,1332.0
264,2017-11-04 14:00:00,Good,2760.0
265,2017-11-04 17:00:00,Bad,2940.0
266,2017-11-25 12:00:00,Good,1260.0
267,2017-11-04 02:00:00,Good,2956.0
268,2017-11-11 04:00:00,Good,1304.0
269,2017-11-25 10:00:00,Good,1676.0
270,2017-11-11 06:00:00,Good,1380.0
271,2017-11-18 12:00:00,Bad,2700.0
272,2017-11-04 11:00:00,Good,2700.0
273,2017-11-04 06:00:00,Good,2928.0
274,2017-11-11 06:00:00,Good,3332.0
275,2017-11-04 13:00:00,Good,3008.0
276,2017-11-18 12:00:00,Bad,4980.0
277,2017-11-18 04:00:00,Good,1737.0
278,2017-11-18 06:00:00,Good,1380.0
279,2017-11-04 05:00:00,Good,1365.0
280,2017-11-25 06:00:00,Good,2842.0
281,2017-11-11 11:00:00,Good,1680.0
282,2017-11-11 10:00:00,Good,1872.0
283,2017-11-04 18:00:00,Bad,2255.0
284,2017-11-11 06:00:00,Good,1320.0
285,2017-11-04 16:00:00,Bad,2620.0
286,2017-11-04 12:00:00,Good,2740.0
287,2017-11-11 06:00:00,Good,1498.0
288,2017-11-11 09:00:00,Good,1443.0
289,2017-11-11 10:00:00,Good,1200.0
290,2017-11-04 12:00:00,Good,2460.0
291,2017-11-11 07:00:00,Good,1440.0
292,2017-11-18 06:00:00,Good,1680.0
293,2017-11-04 14:00:00,Good,3360.0
294,2017-11-11 08:00:00,Good,1404.0
295,2017-11-18 15:00:00,Good,3660.0
296,2017-11-04 17:00:00,Bad,2640.0
297,2017-11-04 16:00:00,Bad,2981.0
298,2017-11-25 07:00:00,Good,1363.0
299,2017-11-04 09:00:00,Good,1839.0
300,2017-11-04 06:00:00,Good,1500.0
301,2017-11-11 07:00:00,Good,1500.0
302,2017-11-18 11:00:00,Good,2412.0
303,2017-11-18 14:00:00,Good,3780.0
304,2017-11-11 18:00:00,Good,3900.0
305,2017-11-04 12:00:00,Good,2897.0
306,2017-11-18 06:00:00,Good,1201.0
307,2017-11-04 10:00:00,Good,2444.0
308,2017-11-11 12:00:00,Good,1860.0
309,2017-11-04 12:00:00,Good,2460.0
310,2017-11-04 18:00:00,Bad,2220.0
311,2017-11-04 16:00:00,Bad,2995.0
312,2017-11-25 11:00:00,Good,1643.0
313,2017-11-11 11:00:00,Good,1530.0
314,2017-11-11 06:00:00,Good,1441.0
315,2017-11-04 11:00:00,Good,2425.0
316,2017-11-11 05:00:00,Good,1386.0
317,2017-11-25 18:00:00,Good,2280.0
318,2017-11-18 13:00:00,Bad,3317.0
319,2017-11-25 14:00:00,Good,1758.0
320,2017-11-04 14:00:00,Good,3000.0
321,2017-11-04 06:00:00,Good,1496.0
322,2017-11-18 14:00:00,Good,2940.0
323,2017-11-11 11:00:00,Good,1740.0
324,2017-11-04 12:00:00,Good,3057.0
325,2017-11-04 11:00:00,Good,2611.0
326,2017-11-04 14:00:00,Good,3887.0
327,2017-11-04 12:00:00,Good,2400.0
328,2017-11-25 09:00:00,Good,1320.0
329,2017-11-11 09:00:00,Good,1623.0
330,2017-11-11 10:00:00,Good,1554.0
331,2017-11-25 06:00:00,Good,1391.0
332,2017-11-04 07:00:00,Good,1140.0
333,2017-11-11 06:00:00,Good,1260.0
334,2017-11-18 06:00:00,Good,1740.0
